tf,target,edge_score,ASI,blacklisted,pert_abs_delta,pert_significant,source
IRF1,TGFB1,0.103780955,0.51544863,True,0.011814236729418615,False,Dixit
IRF1,TGFBR1,0.025352083,2.781829,True,0.008261765191456605,False,Dixit
IRF1,SMAD3,0.00895777,5.247029,True,0.004424527680787917,False,Dixit
IRF1,SMAD7,0.03923219,0.16152206,False,0.006828140572722442,False,Dixit
IRF1,SOD2,0.104065314,0.6544483,True,0.012105827100117206,False,Dixit
IRF1,HMOX1,-0.040082455,0.73321545,True,0.00012476412908046412,False,Dixit
IRF1,NQO1,-0.0025191952,3.3016467,True,0.010146178556779184,False,Dixit
IRF1,GSTP1,0.00032188534,3.4074147,True,0.01553435007132764,False,Dixit
IRF1,GAPDH,-0.001183908,1.1655135,True,0.018695543571718876,False,Dixit
IRF1,ACTB,-0.014392276,1.2993722,True,0.02014246289015209,False,Dixit
IRF1,RPL13A,-0.074646175,0.4823195,False,0.0390677514005513,False,Dixit
IRF1,RPS18,-0.074808754,0.8577491,True,0.022698406521796777,False,Dixit
IRF1,PTPRC,0.1401138,0.4053296,False,0.005646410907450744,False,Dixit
IRF1,ENG,-0.032960005,1.1012235,True,0.00018946514769857883,False,Dixit
ETS1,CD3D,0.5620303,0.029689996,False,0.022819551741624144,True,Dixit
ETS1,CD3E,0.5934259,0.006437402,False,0.0013370071219071023,False,Dixit
ETS1,CD4,-0.026693437,3.8495517,True,0.00032434053899618373,False,Dixit
ETS1,CD19,-0.007051407,1.1947675,True,0.0012189324817695989,False,Dixit
ETS1,MS4A1,0.012614118,4.6141095,True,0.0,False,Dixit
ETS1,CD79A,-0.011478658,0.40220794,False,0.00018031586406532744,False,Dixit
ETS1,CD79B,0.05103822,0.4467335,False,0.001079580284028663,False,Dixit
ETS1,CD14,-0.43373057,0.052269533,False,0.0002425383445748266,False,Dixit
ETS1,CD68,-0.25396845,0.13249306,False,0.0033273261243245977,False,Dixit
ETS1,ITGAM,-0.34720057,0.09287159,False,0.0007631097057373513,False,Dixit
ETS1,ITGAX,-0.39968857,0.025356783,False,0.00013300393816419206,False,Dixit
ETS1,FCGR3A,-0.25931808,0.059691623,False,0.00025843665123618197,False,Dixit
ETS1,CSF1R,-0.3084238,0.07642875,False,0.0001505065117671619,False,Dixit
ETS1,IL2,0.11623609,0.059258208,False,0.0,False,Dixit
ETS1,IL6,-0.06941952,0.5515665,True,0.002029672626677158,False,Dixit
ETS1,IL10,-0.17406584,0.061324447,False,7.540714372552458e-05,False,Dixit
ETS1,IL17A,0.028659588,0.5625133,True,0.0,False,Dixit
ETS1,TNF,0.016806712,2.901489,True,0.0005492755155560949,False,Dixit
ETS1,TNFRSF9,0.118439734,0.09416199,False,0.0008607562810597852,False,Dixit
ETS1,TNFRSF18,0.0901539,0.32008192,False,0.0003483315119524703,False,Dixit
ETS1,GZMB,0.19714157,0.095629334,False,0.0003853291979352388,True,Dixit
ETS1,PRF1,0.273902,0.19398461,False,0.002447903813948069,False,Dixit
ETS1,GNLY,0.14419264,0.36603388,False,0.0004263317402213681,False,Dixit
ETS1,NKG7,0.18728012,0.2879974,False,0.0011550609637100886,False,Dixit
ETS1,CCL5,0.38658613,0.10050604,False,1.7332202855505942e-05,False,Dixit
ETS1,CCR7,0.2543341,0.040936667,False,0.0012206611736867272,False,Dixit
ETS1,CXCR4,0.45308942,0.10832868,False,0.00012239356148357664,False,Dixit
ETS1,CCL2,-0.11003396,0.04442304,False,0.0005550488280891607,False,Dixit
ETS1,CXCL10,-0.03861131,0.7140948,True,0.0,False,Dixit
ETS1,HLA-B,0.08221534,0.5177887,True,8.964093306247905e-06,False,Dixit
ETS1,HLA-C,0.06609836,0.52298594,True,0.0006993091554356435,False,Dixit
ETS1,B2M,0.06536749,0.52251726,True,0.042705991748248184,True,Dixit
