method,top_k,n_edges_total,observed_mean_score,observed_median_score,observed_std_score,observed_score_constant_flag,inferential_stats_masked,inferential_mask_constant_flag,inferential_mask_low_mixing_flag,null_mean_of_mean_scores,null_std_of_mean_scores,z_mean_score,p_mean_score_empirical,p_mean_score_normal,log10_p_mean_score_normal,p_resolution_floor,rank_sig_count_p005,rank_sig_count_p001,rank_sig_count_normal_p005,rank_sig_count_normal_p001,edge_sig_count_q010,edge_sig_count_q005,swap_success_ratio_mean,swap_success_ratio_min,swap_success_ratio_max,swap_trial_ratio_mean,edge_turnover_mean,edge_turnover_min,edge_turnover_max,retry_fraction,permute_success_fraction,fallback_fraction,target_swaps_per_rep,max_trials_per_rep,threshold_q010,n_sig_q010,realized_fdr_q010,threshold_q005,n_sig_q005,realized_fdr_q005
regulatory,500,10500,0.004003547058518859,0.0036798000025252504,0.001069053644275485,0,0,0,0,0.0033210336696356535,2.9844859454897232e-05,22.868707659553216,0.02040816326530612,4.760557479013919e-116,-115.32234218679989,0.02040816326530612,490,0,492,484,0,0,1.0,1.0,1.0,0.15005667507648468,0.5137500166893005,0.47200000286102295,0.5519999861717224,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
regulatory,1000,10500,0.0034989523891790974,0.0032252953588081303,0.000913147787901962,0,0,0,0,0.0030372568871825933,1.2994969438295811e-05,35.52878432381043,0.02040816326530612,8.835172502010213e-277,-276.0537849667073,0.02040816326530612,990,0,989,984,0,0,1.0,1.0,1.0,0.22199468314647675,0.4609791934490204,0.4440000057220459,0.48399999737739563,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
regulatory,2500,10500,0.0029417159257586383,0.002682479599920603,0.0007391602926821326,0,0,0,0,0.002686120569705963,5.87434260523878e-06,43.510453801976006,0.02040816326530612,0.0,-413.13229430721316,0.02040816326530612,2486,0,2487,2478,0,0,1.0,1.0,1.0,0.18718142807483673,0.44425830245018005,0.43160000443458557,0.46160000562667847,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
omnipath,500,17500,0.006046252471419884,0.006081028048176396,0.0012711521200413243,0,1,0,1,0.005957765970379114,7.288975211849902e-06,12.139770863419065,0.02040816326530612,3.250405926851528e-34,-33.488062398780166,0.02040816326530612,0,0,0,0,0,0,0.7237638831138611,0.6913333535194397,0.7643333077430725,1.0,0.054791662842035294,0.04600000008940697,0.06199999898672104,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
omnipath,1000,17500,0.004795039814082602,0.004053243130984397,0.0015483442107855406,0,0,0,0,0.004518291912972927,9.204528396367095e-06,30.066491092842114,0.02040816326530612,6.64614652229442e-199,-198.1774300884075,0.02040816326530612,817,0,657,610,0,0,1.0,1.0,1.0,0.17312932014465332,0.312187522649765,0.296999990940094,0.32600000500679016,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
omnipath,2500,17500,0.003702191445148391,0.003114356385146758,0.0013281627344918592,0,0,0,0,0.0034755952656269073,5.347863861970836e-06,42.37133610701908,0.02040816326530612,0.0,-391.8773865724312,0.02040816326530612,2284,0,2117,2048,0,0,1.0,1.0,1.0,0.11280912905931473,0.44286665320396423,0.4291999936103821,0.46160000562667847,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
omnipath_relaxed,500,31600,0.009445753530387542,0.009177360965242218,0.0012346279428308183,0,0,0,0,0.007251031696796417,7.551407179562375e-05,29.063746032227193,0.02040816326530612,5.158006418933537e-186,-185.28751812173553,0.02040816326530612,497,0,497,490,0,0,1.0,1.0,1.0,0.05739531293511391,0.5565416812896729,0.5299999713897705,0.6079999804496765,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
omnipath_relaxed,1000,31600,0.008520899048232462,0.008189566433429718,0.0012920568229375048,0,0,0,0,0.006826589349657297,3.854752503684722e-05,43.953785697053284,0.02040816326530612,0.0,-421.556725847061,0.02040816326530612,996,0,996,988,0,0,1.0,1.0,1.0,0.08563810586929321,0.48868751525878906,0.47200000286102295,0.5049999952316284,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
omnipath_relaxed,2500,31600,0.0070494180394149895,0.006692279795450824,0.0015092326691042168,0,0,0,0,0.006030220538377762,2.045605106104631e-05,49.8237635490793,0.02040816326530612,0.0,-541.14462214688,0.02040816326530612,2490,0,2491,2484,0,0,1.0,1.0,1.0,0.2516758143901825,0.3620416224002838,0.3508000075817108,0.373199999332428,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
dorothea_union_immune_hpn,500,42100,0.015318860520463705,0.014763188210950382,0.0020238682510499615,0,0,0,0,0.012983832508325577,0.00010677800310077146,21.868061983388003,0.02040816326530612,2.6166803913302767e-106,-105.58224932006483,0.02040816326530612,497,0,495,493,0,0,1.0,1.0,1.0,0.18576927483081818,0.4152083396911621,0.3779999911785126,0.4480000138282776,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
